state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num,bidders_count
Ohio,Paulding,39125,2018,2018-05-24 00:00:00,105522,111,6.49,2.0,99.0,0.943,0.9578592,1.04751014,2.0,"Shelly, Gerken Paving",,9.359511293517889,180326,2
Ohio,Wyandot,39175,2018,2018-11-15 00:00:00,88832,23,6.19,4.0,290.0,3.702,3.23677492,3.30478283,3.0,"Shelly, Shelly & Sands, Kokosing Construction","['23', '23', '23']",2.101100993454324,180569,3
Ohio,Butler,39017,2018,2018-01-18 00:00:00,94263,73,0.5,2.0,195.0,0.287,0.2589,0.23267767,3.0,"Barrett Paving Materials, John R Jurgensen, Rack & Ballauer Excavating",['73'],-10.128362302047128,180006,3
Ohio,Franklin,39049,2018,2018-01-18 00:00:00,76467,270 / 315,NA,4.0,255.0,4.904,6.10148095,6.99161305,3.0,"Kokosing Construction, Shelly, Shelly & Sands","['270', '270', '270', '270', '270', '270', '270', '315', '270']",14.588787661461105,180012,3
Ohio,Hocking,39073,2018,2018-01-18 00:00:00,101555,33,1.23,2.0,255.0,0.435,0.553756,0.53174856,2.0,"Shelly & Sands, Shelly",['33'],-3.974212469029679,180020,2
Ohio,Lorain,39093,2018,2018-01-18 00:00:00,98470,58,8.14,2.0,194.0,1.716,1.74366925,1.75453283,5.0,"Kokosing Construction, Erie Blacktop, Burton Scot Contractors, Barbicas Construction, Chagrin Valley Paving","['58', '58']",0.6230298550026099,180024,5
Ohio,Montgomery,39113,2018,2018-01-18 00:00:00,103062,5093,1.53,4.0,163.0,0.92,0.94777687,0.98012089,2.0,"John R Jurgensen, Barrett Paving Materials","['5093', '5093']",3.412619681254727,180028,2
Ohio,Richland,39139,2018,2018-01-18 00:00:00,94400,13,4.6,2.0,255.0,0.708,0.70687835,0.75015811,2.0,"Kokosing Construction, Shelly & Sands","['13', '13', '13', '13']",6.122660285182026,180031,2
Ohio,Hancock,39063,2018,2018-01-18 00:00:00,87194,698 / 37 / 103,5.45,2.0,256.0,0.921,0.9187329,0.93232687,4.0,"M & B Asphalt, Bluffton Paving, Shelly, Helms And Sons Excavating","['103', '103', '698', '37']",1.479643321796787,188000,4
Ohio,Ashtabula,39007,2018,2018-02-01 00:00:00,94079,45,9.19,2.0,195.0,2.32,2.0878637,2.21724821,7.0,"Ronyak Paving, Shelly & Sands, Koski Construction, Kokosing Construction, Chagrin Valley Paving, Burton Scot Contractors, Americon Industrial Services","['45', '45', '45', '45']",6.196980674552674,180003,7
