state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes
Ohio,Paulding,39125.0,2018.0,2018-05-24,105522,111,12.982,2.0,99.0,0.943,0.957859,1.0475101,2.0,"Shelly Company, Gerken Paving",
Ohio,Wyandot,,,,88832,23,,,,,,,,,"['23', '23', '23']"
Ohio,Butler,,,,94263,73,,,,,,,,,['73']
Ohio,Franklin,,,,76467,270 / 315,,,,,,,,,"['270', '270', '270', '270', '270', '270', '270', '315', '270']"
Ohio,Hocking,,,,101555,33,,,,,,,,,['33']
Ohio,Lorain,,,,98470,58,,,,,,,,,"['58', '58']"
Ohio,Montgomery,,,,103062,5093,,,,,,,,,"['5093', '5093']"
Ohio,Richland,,,,94400,13,,,,,,,,,"['13', '13', '13', '13']"
Ohio,Hancock,,,,87194,698 / 37 / 103,,,,,,,,,"['103', '103', '698', '37']"
Ohio,Ashtabula,,,,94079,45,,,,,,,,,"['45', '45', '45', '45']"
Ohio,Geauga,,,,99627,306,,,,,,,,,"['306', '306']"
Ohio,Madison,,,,91512,38 / 42,,,,,,,,,"['38', '42', '38', '42', '42', '42', '38', '38', '42', '38', '42', '38']"
Ohio,Portage,,,,94131,700 / 305,,,,,,,,,"['700', '700', '305', '700']"
Ohio,Ashtabula,,,,94110,531,,,,,,,,,"['531', '531', '531', '531', '531', '531']"
Ohio,Carroll,,,,91837,164,,,,,,,,,"['164', '164', '164', '164', '164']"
Ohio,Cuyahoga,,,,99593,90,,,,,,,,,['90']
Ohio,Cuyahoga,,,,89246,176,,,,,,,,,['176']
Ohio,Delaware,,,,93147,42,,,,,,,,,['42']
Ohio,Geauga,,,,99629,700,,,,,,,,,['700']
Ohio,Mahoning,,,,94134,289 / 626 / 680 / 224,,,,,,,,,"['289', '224', '224', '680', '224', '626', '626', '626', '224', '289']"
Ohio,Meigs,,,,102364,248 / 7,,,,,,,,,"['7', '248']"
Ohio,Montgomery,,,,100968,75,,,,,,,,,['75']
Ohio,Morrow,,,,102835,95 / 309,,,,,,,,,"['309', '309', '95', '309']"
Ohio,Portage,,,,87283,14 / 480,,,,,,,,,"['480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '14']"
Ohio,Pike,,,,97243,552,,,,,,,,,['552']
Ohio,Belmont,,,,87352,70,,,,,,,,,"['70', '70']"
Ohio,Columbiana,,,,100676,172,,,,,,,,,['172']
Ohio,Erie,,,,94394,113 / 250,,,,,,,,,"['250', '250', '250', '250', '113']"
Ohio,Geauga,,,,90909,6,,,,,,,,,['6']
Ohio,Hardin,,,,88848,195 / 235 / 309 / 81,,,,,,,,,"['309', '81', '235', '309', '195', '195']"
Ohio,Lucas,,,,102808,20 / 25,,,,,,,,,"['25', '20', '20', '20']"
Ohio,Mercer,,,,103254,117,,,,,,,,,['117']
Ohio,Monroe,,,,91766,7,,,,,,,,,['7']
Ohio,Montgomery,,,,103252,75,,,,,,,,,['75']
Ohio,Portage,,,,94133,303,,,,,,,,,['303']
Ohio,Seneca,,,,102817,19 / 101,,,,,,,,,"['101', '19', '101', '101', '19', '19', '101', '101']"
Ohio,Stark,,,,102413,153 / 172,,,,,,,,,"['172', '153']"
Ohio,Summit,,,,98702,77 / 271 / 16,,,,,,,,,"['77', '271', '16']"
Ohio,Trumbull,,,,81641,5,,,,,,,,,"['5', '5', '5', '5', '5', '5', '5']"
Ohio,Union,,,,91391,38,,,,,,,,,['38']
Ohio,Wayne,,,,87718,71,,,,,,,,,"['71', '71', '71']"
Ohio,Perry,,,,95447,93,,,,,,,,,"['93', '93', '93', '93', '93']"
Ohio,Putnam,,,,93645,65 / 109 / 613,,,,,,,,,"['109', '613', '65']"
Ohio,Champaign,,,,104854,29,,,,,,,,,['29']
Ohio,Cuyahoga,,,,85530,480,,,,,,,,,['480']
Ohio,Guernsey,,,,100999,265 / 376,,,,,,,,,"['265', '265', '376', '265', '265', '265', '265', '265']"
Ohio,Henry,,,,102763,281,,,,,,,,,"['281', '281']"
Ohio,Jefferson,,,,95564,7,,,,,,,,,['7']
Ohio,Lawrence,,,,83064,52 / 83064,,,,,,,,,"['52', '52', '52', '83064']"
Ohio,Logan,,,,102974,68,,,,,,,,,['68']
Ohio,Montgomery,,,,103055,151,,,,,,,,,['151']
Ohio,Muskingum,,,,95510,146,,,,,,,,,"['146', '146']"
Ohio,Summit,,,,87286,271 / 8,,,,,,,,,"['271', '271', '271', '271', '8', '271', '271']"
Ohio,Tuscarawas,,,,98266,416,,,,,,,,,"['416', '416', '416']"
Ohio,Union,,,,101246,739 / 287 / 33,,,,,,,,,"['287', '33', '33', '33', '33', '33', '287', '33', '739', '739', '33']"
Ohio,Clark,,,,97956,41 / 68,,,,,,,,,"['68', '68', '41']"
Ohio,Delaware,,,,102832,750,,,,,,,,,"['750', '750', '750', '750']"
Ohio,Fulton,,,,102802,109 / 108,,,,,,,,,"['108', '109', '109']"
Ohio,Geauga,,,,99634,608 / 166,,,,,,,,,"['608', '166']"
Ohio,Geauga,,,,85217,528,,,,,,,,,['528']
Ohio,Licking,,,,92983,79,,,,,,,,,"['79', '79', '79', '79']"
Ohio,Mercer,,,,100937,49 / 219,,,,,,,,,"['49', '49', '219']"
Ohio,Montgomery,,,,100962,40 / 35,,,,,,,,,"['35', '35', '40']"
Ohio,Morrow,,,,103438,61 / 314 / 42,,,,,,,,,"['42', '314', '314', '61', '314', '42']"
Ohio,Sandusky,,,,95765,412 / 590,,,,,,,,,"['412', '412', '412', '590', '412', '412', '412', '412', '590']"
Ohio,Logan,,,,103832,347,,,,,,,,,['347']
Ohio,Van Wert,,,,87210,30 / 697 / 190 / 189 / 66,,,,,,,,,"['30', '697', '66', '697', '66', '66', '190', '66', '189']"
Ohio,Coshocton,,,,93010,36,,,,,,,,,"['36', '36', '36', '36', '36', '36']"
Ohio,Cuyahoga,,,,85394,91,,,,,,,,,['91']
Ohio,Washington,,,,101746,60,,,,,,,,,['60']
Ohio,Wayne,,,,106519,21,,,,,,,,,['21']
Ohio,Van Wert,,,,88851,709,,,,,,,,,['709']
Ohio,Ashtabula,,,,88933,45 / 11,,,,,,,,,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '45', '45']"
Ohio,Richland,,,,98571,430 / 42 / 13,,,,,,,,,"['42', '430', '13', '42']"
Ohio,Coshocton,,,,92987,651 / 643 / 621,,,,,,,,,"['643', '643', '621', '651', '651', '651', '651', '643', '643']"
Ohio,Cuyahoga,,,,85401,322,,,,,,,,,"['322', '322']"
Ohio,Jackson,,,,98152,327 / 124,,,,,,,,,"['327', '327', '124', '327', '327']"
Ohio,Lake,,,,99645,528,,,,,,,,,"['528', '528', '528', '528', '528', '528', '528']"
Ohio,Logan,,,,100934,117 / 245,,,,,,,,,"['117', '245']"
Ohio,Miami,,,,100946,718 / 571,,,,,,,,,"['571', '718', '571', '718']"
Ohio,Morgan,,,,84516,60,,,,,,,,,"['60', '60']"
Ohio,Ross,,,,104711,23 / 159,,,,,,,,,"['159', '23', '159', '23']"
Ohio,Wayne,,,,103544,250,,,,,,,,,"['250', '250', '250']"
Ohio,Wayne,,,,92892,83,,,,,,,,,['83']
Ohio,Sandusky,,,,95769,6,,,,,,,,,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']"
Ohio,Carroll,,,,100591,39,,,,,,,,,"['39', '39']"
Ohio,Clark,,,,92876,72,,,,,,,,,['72']
Ohio,Fulton,,,,101272,20,,,,,,,,,"['20', '20']"
Ohio,Fulton,,,,102801,66,,,,,,,,,"['66', '66', '66', '66', '66', '66', '66']"
Ohio,Knox,,,,92968,768 / 36 / 308 / 13,,,,,,,,,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']"
Ohio,Lake,,,,84405,535 / 283,,,,,,,,,"['283', '535']"
Ohio,Lucas,,,,99662,184,,,,,,,,,['184']
Ohio,Medina,,,,92920,57,,,,,,,,,"['57', '57', '57']"
Ohio,Seneca,,,,101281,18,,,,,,,,,"['18', '18', '18']"
Ohio,Shelby,,,,100994,48,,,,,,,,,['48']
Ohio,Summit,,,,94126,532 / 224,,,,,,,,,"['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']"
Ohio,Cuyahoga,,,,105933,14702,,,,,,,,,['14702']
Ohio,Franklin,,,,76420,670 / 315 / 25568,,,,,,,,,"['315', '670', '315', '315', '670', '315', '315', '25568', '315', '315']"
Ohio,Jackson,,,,92011,35,,,,,,,,,"['35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35']"
Ohio,Lorain,,,,92888,10 / 47076 / 83,,,,,,,,,"['83', '10', '10', '10', '47076']"
Ohio,Marion,,,,91516,95,,,,,,,,,"['95', '95', '95']"
Ohio,Ross,,,,100487,159 / 35,,,,,,,,,"['159', '35', '35', '159']"
Ohio,Scioto,,,,97680,23,,,,,,,,,['23']
Ohio,Tuscarawas,,,,100630,36,,,,,,,,,"['36', '36', '36', '36']"
Ohio,Williams,,,,102827,191 / 6,,,,,,,,,"['6', '191', '6', '6', '6']"
Ohio,Madison,,,,25596,71,,,,,,,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71']"
Ohio,Allen,,,,95503,128,,,,,,,,,['128']
Ohio,Guernsey,,,,83107,285 / 313 / 40,,,,,,,,,"['285', '313', '313', '40', '285', '313', '313', '285', '313']"
Ohio,Hamilton,,,,84481,275 / 127,,,,,,,,,"['275', '127', '127', '127']"
Ohio,Miami,,,,100942,571 / 48,,,,,,,,,"['571', '48']"
Ohio,Paulding,,,,105522,111,,,,,,,,,['111']
Ohio,Seneca,,,,92128,635,,,,,,,,,"['635', '635']"
Ohio,Wayne,,,,102936,3,,,,,,,,,['3']
Ohio,Wayne,,,,101261,57,,,,,,,,,"['57', '57', '57', '57']"
Ohio,Washington,,,,107725,60,,,,,,,,,"['60', '60']"
Ohio,Ashland,,,,94392,224,,,,,,,,,"['224', '224', '224']"
Ohio,Perry,,,,93137,216 / 155 / 595 / 93,,,,,,,,,"['595', '155', '216', '93']"
Ohio,Richland,,,,94401,39 / 309,,,,,,,,,"['39', '39', '309']"
Ohio,Franklin,,,,79668,70 / 25421,,,,,,,,,"['25421', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70']"
Ohio,Butler,,,,91864,747,,,,,,,,,['747']
Ohio,Tuscarawas,,,,102482,542 / 183,,,,,,,,,"['183', '183', '542', '183', '183']"
Ohio,Franklin,,,,105137,270,,,,,,,,,"['270', '270']"
Ohio,Henry,,,,95716,24,,,,,,,,,"['24', '24', '24', '24']"
Ohio,Meigs,,,,91742,143 / 124,,,,,,,,,"['143', '124', '124']"
Ohio,Monroe,,,,84539,145 / 26,,,,,,,,,"['145', '26', '145', '26']"
Ohio,Montgomery,,,,97667,725,,,,,,,,,['725']
Ohio,Morgan,,,,96644,266,,,,,,,,,"['266', '266']"
Ohio,Richland,,,,87721,71,,,,,,,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71']"
Ohio,Trumbull,,,,94114,534,,,,,,,,,"['534', '534', '534', '534', '534', '534', '534']"
Ohio,Champaign,,,,100922,235 / 29,,,,,,,,,"['29', '235']"
Ohio,Hancock,,,,93678,330 / 568,,,,,,,,,"['568', '568', '330']"
Ohio,Hocking,,,,96642,180 / 374,,,,,,,,,"['180', '374', '374']"
Ohio,Richland,,,,102954,598 / 39 / 13 / 103,,,,,,,,,"['598', '103', '13', '598', '39', '13', '13', '13', '598', '39', '13']"
Ohio,District 7,,,,105326,55,,,,,,,,,"['55', '55']"
Ohio,Monroe,,,,102562,78,,,,,,,,,"['78', '78']"
Ohio,Shelby,,,,88700,705,,,,,,,,,['705']
Ohio,Stark,,,,98392,173 / 41 / 44 / 62 / 153,,,,,,,,,"['173', '173', '41', '44', '62', '173', '173', '173', '153', '44', '173']"
Ohio,Washington,,,,101181,32 / 339,,,,,,,,,"['32', '339']"
Ohio,Logan,,,,105327,274,,,,,,,,,['274']
Ohio,Warren,,,,106242,71,,,,,,,,,"['71', '71', '71']"
Ohio,Champaign,,,,99982,54,,,,,,,,,['54']
Ohio,Cuyahoga,,,,100254,14580 / 14711,,,,,,,,,"['14580', '14711']"
Ohio,Holmes,,,,96794,62,,,,,,,,,['62']
Ohio,Jackson,,,,100491,93,,,,,,,,,"['93', '93']"
Ohio,Ross,,,,97315,167,,,,,,,,,['167']
Ohio,Belmont,,,,102475,149 / 331,,,,,,,,,"['149', '331', '331', '331', '331']"
Ohio,Morgan,,,,96647,530 / 83,,,,,,,,,"['83', '83', '530']"
Ohio,Lorain,,,,87698,20 / 511,,,,,,,,,"['20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '511']"
Ohio,Williams,,,,92373,191,,,,,,,,,"['191', '191', '191', '191', '191', '191']"
Ohio,Erie,,,,98466,6,,,,,,,,,['6']
Ohio,Medina,,,,98250,539 / 42 / 224,,,,,,,,,"['224', '42', '42', '539', '42']"
Ohio,Perry,,,,93003,13,,,,,,,,,['13']
Ohio,Scioto,,,,100869,52,,,,,,,,,"['52', '52', '52', '52', '52']"
Ohio,Williams,,,,102821,127,,,,,,,,,"['127', '127', '127', '127']"
Ohio,District 8,,,,94201,42 / 744 / 732 / 68 / 741 / 725 / 133 / 132,,,,,,,,,"['741', '133', '732', '132', '744', '741', '132', '132', '68', '133', '725', '132', '42', '133', '68']"
Ohio,Lawrence,,,,102159,93,,,,,,,,,['93']
Ohio,Licking,,,,95455,40,,,,,,,,,['40']
Ohio,Ross,,,,100488,35,,,,,,,,,"['35', '35', '35', '35', '35', '35', '35', '35']"
Ohio,Highland,,,,95563,50,,,,,,,,,['50']
Ohio,Adams,,,,91998,781 / 247,,,,,,,,,"['781', '781', '781', '781', '247']"
Ohio,Columbiana,,,,100607,518,,,,,,,,,"['518', '518']"
Ohio,Lorain,,,,98394,18,,,,,,,,,['18']
Ohio,Morgan,,,,91458,60,,,,,,,,,"['60', '60', '60', '60', '60']"
Ohio,Pickaway,,,,105552,104 / 22,,,,,,,,,"['104', '22', '22']"
Ohio,Vinton,,,,93774,50,,,,,,,,,"['50', '50', '50', '50']"
Ohio,Fairfield,,,,93037,188 / 22 / 159,,,,,,,,,"['22', '188', '159', '188', '188']"
Ohio,Holmes,,,,105193,93,,,,,,,,,"['93', '93', '93', '93', '93']"
Ohio,Licking,,,,95465,37 / 16 / 161,,,,,,,,,"['37', '161', '161', '16', '37', '161', '37', '37', '37', '161', '161', '37', '161', '161', '161', '37']"
Ohio,Marion,,,,105532,4,,,,,,,,,"['4', '4']"
Ohio,Wood,,,,102824,281,,,,,,,,,"['281', '281', '281']"
Ohio,Adams,,,,96328,52 / 136,,,,,,,,,"['136', '52']"
Ohio,Columbiana,,,,102486,30,,,,,,,,,['30']
Ohio,Coshocton,,,,101608,206 / 541,,,,,,,,,"['206', '541', '541', '541']"
Ohio,Holmes,,,,105190,39 / 62,,,,,,,,,"['62', '39']"
Ohio,Putnam,,,,98467,114 / 224,,,,,,,,,"['224', '114', '224']"
Ohio,Trumbull,,,,100959,80,,,,,,,,,['80']
Ohio,Tuscarawas,,,,100567,77 / 751,,,,,,,,,"['751', '77']"
Ohio,Wayne,,,,101400,83,,,,,,,,,"['83', '83', '83', '83']"
Ohio,Allen,,,,94206,75,,,,,,,,,"['75', '75', '75']"
Ohio,Ashtabula,,,,100815,84 / 20,,,,,,,,,"['20', '20', '84', '20', '20', '84']"
Ohio,Belmont,,,,105179,149,,,,,,,,,"['149', '149']"
Ohio,Highland,,,,84634,41 / 124,,,,,,,,,"['124', '41']"
Ohio,Williams,,,,105474,20 / 107,,,,,,,,,"['20', '107', '107']"
Ohio,Perry,,,,105130,204,,,,,,,,,"['204', '204', '204']"
Ohio,Ashland,,,,96318,301 / 58,,,,,,,,,"['58', '58', '58', '58', '58', '58', '58', '58', '301', '58', '301']"
Ohio,Columbiana,,,,96786,46,,,,,,,,,"['46', '46']"
Ohio,Delaware,,,,105543,257 / 605,,,,,,,,,"['605', '257']"
Ohio,Holmes,,,,102405,520,,,,,,,,,"['520', '520', '520', '520']"
Ohio,Lawrence,,,,92012,52 / 7 / 527,,,,,,,,,"['527', '7', '527', '7', '7', '7', '527', '52']"
Ohio,Medina,,,,91092,91092 / 224 / 76,,,,,,,,,"['76', '224', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '91092', '91092', '91092']"
Ohio,Montgomery,,,,102980,75,,,,,,,,,['75']
Ohio,Trumbull,,,,100817,45,,,,,,,,,"['45', '45', '45']"
Ohio,Franklin,,,,93136,33,,,,,,,,,['33']
Ohio,Pike,,,,88969,335 / 104,,,,,,,,,"['335', '335', '335', '104', '335']"
Ohio,Ashtabula,,,,94077,20,,,,,,,,,"['20', '20']"
Ohio,Athens,,,,84549,56,,,,,,,,,['56']
Ohio,Butler,,,,105133,129 / 4,,,,,,,,,"['129', '129', '4', '129']"
Ohio,Guernsey,,,,93022,77,,,,,,,,,"['77', '77', '77', '77', '77']"
Ohio,Harrison,,,,91844,250 / 9,,,,,,,,,"['9', '250']"
Ohio,Highland,,,,84622,138 / 753,,,,,,,,,"['138', '138', '138', '753']"
Ohio,Madison,,,,105547,42,,,,,,,,,"['42', '42', '42']"
Ohio,Clinton,,,,87300,251 / 68 / 350,,,,,,,,,"['68', '68', '68', '68', '68', '68', '251', '350']"
Ohio,Belmont,,,,91962,800,,,,,,,,,"['800', '800', '800']"
