state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct
Ohio,Paulding,39125,2018,2018-05-24 00:00:00,105522,111,12.982,2.0,99.0,0.943,0.9578591999999999,1.04751014,2.0,"Shelly Company, Gerken Paving",,9.359511293517887
Ohio,Wyandot,39175,2018,2018-11-15 00:00:00,88832,23,,4.0,290.0,,3.2367749199999998,3.30478283,,,"['23', '23', '23']",2.101100993454324
Ohio,Butler,39017,2018,2018-01-18 00:00:00,94263,73,,2.0,195.0,,0.2589,0.23267767,,,['73'],-10.128362302047128
Ohio,Franklin,39049,2018,2018-01-18 00:00:00,76467,270 / 315,,4.0,255.0,,6.10148095,6.99161305,,,"['270', '270', '270', '270', '270', '270', '270', '315', '270']",14.588787661461103
Ohio,Hocking,39073,2018,2018-01-18 00:00:00,101555,33,,2.0,255.0,,0.553756,0.53174856,,,['33'],-3.9742124690296787
Ohio,Lorain,39093,2018,2018-01-18 00:00:00,98470,58,,2.0,194.0,,1.74366925,1.75453283,,,"['58', '58']",0.6230298550026099
Ohio,Montgomery,39113,2018,2018-01-18 00:00:00,103062,5093,,4.0,163.0,,0.94777687,0.98012089,,,"['5093', '5093']",3.412619681254727
Ohio,Richland,39139,2018,2018-01-18 00:00:00,94400,13,,2.0,255.0,,0.70687835,0.75015811,,,"['13', '13', '13', '13']",6.122660285182026
Ohio,Hancock,39063,2018,2018-01-18 00:00:00,87194,698 / 37 / 103,,2.0,256.0,,0.9187329000000001,0.93232687,,,"['103', '103', '698', '37']",1.479643321796787
Ohio,Ashtabula,39007,2018,2018-02-01 00:00:00,94079,45,,2.0,195.0,,2.0878636999999998,2.21724821,,,"['45', '45', '45', '45']",6.196980674552674
Ohio,Geauga,39055,2018,2018-02-01 00:00:00,99627,306,,2.0,272.0,,0.9475744,0.9586085400000001,,,"['306', '306']",1.1644615979494617
Ohio,Madison,39097,2018,2018-02-01 00:00:00,91512,38 / 42,,2.0,211.0,,1.6616003300000002,1.74931597,,,"['38', '42', '38', '42', '42', '42', '38', '38', '42', '38', '42', '38']",5.278985470591467
Ohio,Portage,39133,2018,2018-02-01 00:00:00,94131,700 / 305,,2.0,179.0,,1.37989944,1.3487191399999998,,,"['700', '700', '305', '700']",-2.259606685542257
Ohio,Ashtabula,39007,2018,2018-02-01 00:00:00,94110,531,,2.0,179.0,,1.3513286,1.35632725,,,"['531', '531', '531', '531', '531', '531']",0.36990632774294163
Ohio,Carroll,39019,2018,2018-02-01 00:00:00,91837,164,,2.0,272.0,,2.25192215,2.41590961,,,"['164', '164', '164', '164', '164']",7.282110529442591
Ohio,Cuyahoga,39035,2018,2018-02-01 00:00:00,99593,90,,4.0,241.0,,2.70727883,2.8265151200000003,,,['90'],4.404285538627004
Ohio,Cuyahoga,39035,2018,2018-02-01 00:00:00,89246,176,,4.0,241.0,,1.23987024,1.31980652,,,['176'],6.447148856480343
Ohio,Delaware,39041,2018,2018-02-02 00:00:00,93147,42,,2.0,240.0,,0.32442529999999997,0.309476,,,['42'],-4.607932858503945
Ohio,Geauga,39055,2018,2018-02-01 00:00:00,99629,700,,2.0,272.0,,0.56160606,0.6251726700000001,,,['700'],11.318718676219426
Ohio,Mahoning,39099,2018,2018-02-01 00:00:00,94134,289 / 626 / 680 / 224,,2.0,226.0,,3.28490452,3.3953331,,,"['289', '224', '224', '680', '224', '626', '626', '626', '224', '289']",3.361698318099067
Ohio,Meigs,39105,2018,2018-02-01 00:00:00,102364,248 / 7,,2.0,273.0,,2.62495665,2.79389882,,,"['7', '248']",6.435998476393879
Ohio,Montgomery,39113,2018,2018-02-01 00:00:00,100968,75,,4.0,211.0,,1.8784,1.9509687,,,['75'],3.8633251703577476
Ohio,Morrow,39117,2018,2018-02-01 00:00:00,102835,95 / 309,,2.0,241.0,,3.2358438599999997,3.3366108999999997,,,"['309', '309', '95', '309']",3.114088452957679
Ohio,Portage,39133,2018,2018-02-01 00:00:00,87283,14 / 480,,4.0,529.0,,2.79101385,2.76243233,,,"['480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '14']",-1.024055111729378
Ohio,Pike,39131,2018,2018-02-01 00:00:00,97243,552,,2.0,226.0,,0.44769986,0.47311516,,,['552'],5.67686127934013
Ohio,Belmont,39013,2018,2018-02-08 00:00:00,87352,70,,4.0,265.0,,0.8841602,0.9857525500000001,,,"['70', '70']",11.490264999487662
Ohio,Columbiana,39029,2018,2018-02-08 00:00:00,100676,172,,2.0,234.0,,0.52401728,0.51514708,,,['172'],-1.6927304382023527
Ohio,Erie,39043,2018,2018-02-08 00:00:00,94394,113 / 250,,4.0,234.0,,3.99545415,4.10927898,,,"['250', '250', '250', '250', '113']",2.848858370706118
Ohio,Geauga,39055,2018,2018-02-08 00:00:00,90909,6,,2.0,265.0,,0.66118475,0.6985815400000001,,,['6'],5.65602730552997
Ohio,Hardin,39065,2018,2018-02-08 00:00:00,88848,195 / 235 / 309 / 81,,2.0,234.0,,3.3050371000000003,3.59057829,,,"['309', '81', '235', '309', '195', '195']",8.639575936984173
Ohio,Lucas,39095,2018,2018-02-08 00:00:00,102808,20 / 25,,4.0,174.0,,3.3770308900000003,3.40202825,,,"['25', '20', '20', '20']",0.740217096444727
Ohio,Mercer,39107,2018,2018-02-12 00:00:00,103254,117,,2.0,169.0,,0.9498294,1.01272837,,,['117'],6.622133406272747
Ohio,Monroe,39111,2018,2018-02-08 00:00:00,91766,7,,2.0,157.0,,0.9509655899999999,1.06147729,,,['7'],11.62099882078805
Ohio,Montgomery,39113,2018,2018-02-12 00:00:00,103252,75,,4.0,169.0,,1.6423,1.57468569,,,['75'],-4.117049869086049
Ohio,Portage,39133,2018,2018-02-08 00:00:00,94133,303,,2.0,142.0,,0.4489283,0.45682353000000003,,,['303'],1.7586839591088446
