project_number,bidder_name,address,city,state,zip,county,bidder_number,bid_amount,filename,awarded
180003,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,1,2087863.7,180003bidtab.pdf,True
180003,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,2193929.12,180003bidtab.pdf,False
180003,KOSKI CONSTRUCTION CO,P O BOX 1038,ASHTABULA,OH,44005-1038,,3,2268022.35,180003bidtab.pdf,False
180003,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,4,2298511.32,180003bidtab.pdf,False
180003,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,5,2400000.0,180003bidtab.pdf,False
180003,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,6,2451806.63,180003bidtab.pdf,False
180003,AMERICON INDUSTRIAL SERVICES LLC,3651 LEHARPS RD,AUSTINTOWN,OH,44515,Mahoning,7,2456486.87,180003bidtab.pdf,False
180006,BARRETT PAVING MATERIALS INC,3751 COMMERCE DR,Franklin,OH,45055,Butler,1,258900.0,180006bidtab.pdf,True
180006,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,2,267124.64,180006bidtab.pdf,False
180006,RACK & BALLAUER EXCAVATING CO INC,11321 PADDY'S RUN RD,HAMILTON,OH,45013,Butler,3,268142.98,180006bidtab.pdf,False
180012,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,1,6101480.95,180012bidtab.pdf,True
180012,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,6264757.41,180012bidtab.pdf,False
180012,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,3,6554622.28,180012bidtab.pdf,False
180014,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,1,947574.4,180014bidtab.pdf,True
180014,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,2,1083591.39,180014bidtab.pdf,False
180014,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,3,1187592.94,180014bidtab.pdf,False
180014,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,4,1189581.2,180014bidtab.pdf,False
180014,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,5,1270523.85,180014bidtab.pdf,False
180014,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,6,1337710.35,180014bidtab.pdf,False
