project_number,num_matches,match_1,match_2,all_matches_same,comparison_1_2,numbers_in_match_1,numbers_in_match_2
170561,2,['10.15'],['10.15'],True,True,1,1
170626,2,[],[],True,True,0,0
170634,2,['13.93'],['13.93'],True,True,1,1
174015,2,['5.45'],['5.45'],True,True,1,1
174016,2,['1.22'],['1.22'],True,True,1,1
180003,2,['9.19'],['9.13'],False,False,1,1
180004,2,['1.76'],['1.76'],True,True,1,1
180006,2,['0.5'],['0.5'],True,True,1,1
180012,2,[],[],True,True,0,0
180014,2,['4.45'],['4.45'],True,True,1,1
180020,2,['1.23'],['1.23'],True,True,1,1
180024,2,['8.14'],['8.14'],True,True,1,1
180025,2,['8.87'],['8.87'],True,True,1,1
180028,2,['1.53'],['1.53'],True,True,1,1
180029,2,['7.65'],['7.65'],True,True,1,1
180031,2,['4.60'],['4.60'],True,True,1,1
180043,2,[],[],True,True,0,0
180045,2,['11.51'],['11.51'],True,True,1,1
180050,2,['2.27'],['2.27'],True,True,1,1
180051,2,['0.58'],['0.58'],True,True,1,1
180055,2,['1.82'],['1.82'],True,True,1,1
180058,2,['5.04'],['5.04'],True,True,1,1
180064,2,['9.68'],['9.68'],True,True,1,1
180066,2,['13.21'],['13.21'],True,True,1,1
180067,2,['3.61'],['3.61'],True,True,1,1
180068,2,['16.27'],['16.27'],True,True,1,1
180071,2,['23.68'],['23.68'],True,True,1,1
180073,2,['1.74'],['1.74'],True,True,1,1
180085,2,['3.11'],['3.11'],True,True,1,1
180088,2,['7.12'],['7.12'],True,True,1,1
180090,2,['8.85'],['8.76'],False,False,1,1
180092,2,['3.44'],['3.44'],True,True,1,1
180095,2,['14.49'],['14.49'],True,True,1,1
180101,2,[],[],True,True,0,0
180102,2,['6.54'],['6.54'],True,True,1,1
180103,2,['5.82'],['5.82'],True,True,1,1
180105,2,['1.4'],['1.4'],True,True,1,1
180108,2,['2.27'],['2.27'],True,True,1,1
180110,2,['9.67'],['9.67'],True,True,1,1
180112,2,['8.42'],['8.42'],True,True,1,1
180113,2,[],[],True,True,0,0
180114,2,[],[],True,True,0,0
180115,2,[],[],True,True,0,0
180116,2,[],[],True,True,0,0
180119,2,['5.40'],['5.40'],True,True,1,1
180122,2,['3.2'],['3.2'],True,True,1,1
180130,2,[],[],True,True,0,0
180132,2,['19.07'],['19.07'],True,True,1,1
180137,2,['5.71'],['5.71'],True,True,1,1
180139,2,['4.56'],['4.18'],False,False,1,1
180140,2,[],[],True,True,0,0
180141,2,['3.47'],['3.47'],True,True,1,1
180147,2,['0.40'],['0.40'],True,True,1,1
180149,2,['9.57'],['9.57'],True,True,1,1
180153,2,[],[],True,True,0,0
180154,2,['2.85'],['2.85'],True,True,1,1
180156,2,['12.1'],['12.1'],True,True,1,1
180164,2,['2.82'],['2.82'],True,True,1,1
180165,2,['9.72'],['9.72'],True,True,1,1
180166,2,['6.25'],['6.25'],True,True,1,1
180167,2,['7.56'],['7.56'],True,True,1,1
180170,2,['5'],['5'],True,True,1,1
180172,2,[],[],True,True,0,0
180174,2,[],[],True,True,0,0
180175,2,['20.57'],['20.57'],True,True,1,1
180179,2,['10.57'],['10.57'],True,True,1,1
180187,2,['0.07'],['0.07'],True,True,1,1
180189,2,[],[],True,True,0,0
180192,2,['8.22'],['8.22'],True,True,1,1
180195,2,['7.54'],['7.54'],True,True,1,1
180197,2,['2.9'],['2.9'],True,True,1,1
180206,2,['4.09'],['4.09'],True,True,1,1
180210,2,['0.55'],['0.55'],True,True,1,1
180211,2,['4.06'],['4.06'],True,True,1,1
180217,2,['8.06'],['8.06'],True,True,1,1
180222,2,[],[],True,True,0,0
180223,2,[],[],True,True,0,0
180227,2,['4.675'],['4.675'],True,True,1,1
180228,2,['6.18'],['6.18'],True,True,1,1
180229,2,['2.26'],['2.26'],True,True,1,1
180230,2,['4.27'],['4.27'],True,True,1,1
180231,2,['10.94'],['10.94'],True,True,1,1
180232,2,['1.19'],['1.20'],False,False,1,1
180233,2,['9.00'],['9.00'],True,True,1,1
180237,2,['15.72'],['15.72'],True,True,1,1
180238,2,['1.36'],['1.36'],True,True,1,1
180246,2,['10.28'],['10.28'],True,True,1,1
180249,2,[],[],True,True,0,0
180250,2,['1.55'],['1.55'],True,True,1,1
180256,2,['3.00'],['3.00'],True,True,1,1
180257,2,['6.96'],['6.96'],True,True,1,1
180259,2,['15.6'],['15.6'],True,True,1,1
180260,2,['1.09'],['1.09'],True,True,1,1
180262,2,['1.57'],['1.57'],True,True,1,1
180265,2,['3.24'],['3.24'],True,True,1,1
180269,2,['7.54'],['7.54'],True,True,1,1
180270,2,['2.00'],['2.00'],True,True,1,1
180272,2,[],[],True,True,0,0
180282,2,['1.11'],['1.11'],True,True,1,1
180289,2,['7.94'],['7.94'],True,True,1,1
180291,2,[],[],True,True,0,0
180292,2,['2.44'],['2.44'],True,True,1,1
180295,2,['0.91'],['0.91'],True,True,1,1
180298,2,['13.64'],['13.64'],True,True,1,1
180302,2,['11.77'],['11.77'],True,True,1,1
180312,2,[],[],True,True,0,0
180318,2,[],[],True,True,0,0
180319,2,[],[],True,True,0,0
180325,2,['2.65'],['2.65'],True,True,1,1
180326,2,['6.49'],['6.49'],True,True,1,1
180329,2,['6.08'],['6.08'],True,True,1,1
180330,2,['6.55'],['6.55'],True,True,1,1
180331,2,[],[],True,True,0,0
180345,2,['7.15'],['7.15'],True,True,1,1
180355,2,['8.76'],['8.76'],True,True,1,1
180364,2,['14.26'],['14.26'],True,True,1,1
180367,2,['11.2'],['11.2'],True,True,1,1
180385,2,['2.85'],['2.76'],False,False,1,1
180386,2,['3.43'],['3.43'],True,True,1,1
180391,2,['4.19'],['4.19'],True,True,1,1
180394,2,['5.84'],['5.84'],True,True,1,1
180398,2,['18.57'],['18.57'],True,True,1,1
180399,2,['9.51'],['9.51'],True,True,1,1
180400,2,['2.56'],['2.56'],True,True,1,1
180401,2,[],[],True,True,0,0
180403,2,['13.52'],['13.52'],True,True,1,1
180406,2,['5.86'],['5.86'],True,True,1,1
180411,2,['17.62'],['17.62'],True,True,1,1
180413,2,['5.90'],['5.90'],True,True,1,1
180420,2,[],[],True,True,0,0
180421,2,[],[],True,True,0,0
180422,2,[],[],True,True,0,0
180424,2,['5.27'],['5.27'],True,True,1,1
180426,2,['16.06'],['16.06'],True,True,1,1
180427,2,[],[],True,True,0,0
180431,2,['8.07'],['8.07'],True,True,1,1
180432,2,['10.54'],['10.54'],True,True,1,1
180433,2,['5.79'],['5.79'],True,True,1,1
180435,2,['3.54'],['3.54'],True,True,1,1
180436,2,['0.56'],['0.56'],True,True,1,1
180437,2,['1.88'],['1.88'],True,True,1,1
180438,2,['10.64'],['10.64'],True,True,1,1
180439,2,['5.65'],['5.65'],True,True,1,1
180442,2,['12.37'],['12.37'],True,True,1,1
180448,2,[],[],True,True,0,0
180449,2,[],[],True,True,0,0
180452,2,['27.46'],['27.46'],True,True,1,1
180455,2,['13.99'],['13.99'],True,True,1,1
180461,2,['5.54'],['5.54'],True,True,1,1
180471,2,['3.64'],['3.64'],True,True,1,1
180475,2,['18.97'],['18.92'],False,False,1,1
180477,2,[],[],True,True,0,0
180479,2,['8.65'],['8.65'],True,True,1,1
180481,2,['9.83'],['9.83'],True,True,1,1
180485,2,['47.25'],['47.25'],True,True,1,1
180489,2,['2.71'],['2.71'],True,True,1,1
180490,2,['1.18'],['1.25'],False,False,1,1
180491,2,[],[],True,True,0,0
180495,2,['7.21'],['7.21'],True,True,1,1
180501,2,['9.94'],['9.94'],True,True,1,1
180506,2,['6.37'],['6.37'],True,True,1,1
180508,2,[],[],True,True,0,0
180509,2,['12.47'],['12.31'],False,False,1,1
180510,2,[],[],True,True,0,0
180511,2,['6.25'],['6.25'],True,True,1,1
180520,2,['19.40'],['19.20'],False,False,1,1
180521,2,['17.75'],['17.75'],True,True,1,1
180522,2,['16.98'],['12.27'],False,False,1,1
180525,2,['7.49'],['7.49'],True,True,1,1
180530,2,['4.39'],['4.39'],True,True,1,1
180533,2,['7.02'],['7.02'],True,True,1,1
180535,2,[],[],True,True,0,0
180536,2,['19.21'],['19.21'],True,True,1,1
180542,2,[],[],True,True,0,0
180547,2,['12.25'],['12.25'],True,True,1,1
180548,2,['3.85'],['3.76'],False,False,1,1
180549,2,[],[],True,True,0,0
180551,2,['8.09'],['8.04'],False,False,1,1
180555,2,[],[],True,True,0,0
180556,2,['9.58'],['9.50'],False,False,1,1
180557,2,['5.45'],['5.17'],False,False,1,1
180560,2,['8.85'],['8.85'],True,True,1,1
180568,2,['7.17'],['7.17'],True,True,1,1
180569,2,['6.19'],['6.19'],True,True,1,1
180570,2,[],[],True,True,0,0
180574,2,[],[],True,True,0,0
180576,2,['5.45'],['5.45'],True,True,1,1
180577,2,['12.11'],['12.11'],True,True,1,1
180583,2,['13.47'],['13.41'],False,False,1,1
180584,2,['7.32'],['7.32'],True,True,1,1
180585,2,['8.02'],['8.02'],True,True,1,1
180589,2,['11.45'],['11.45'],True,True,1,1
180592,2,['3.73'],['2.72'],False,False,1,1
180600,2,['11.44'],['11.44'],True,True,1,1
180607,2,['2.50'],['2.50'],True,True,1,1
180609,2,['11.23'],['11.15'],False,False,1,1
180610,2,['11.69'],['11.69'],True,True,1,1
180611,2,[],[],True,True,0,0
180621,2,['13.06'],['13.06'],True,True,1,1
180622,2,['24.61'],['24.58'],False,False,1,1
184002,2,['1.67'],['1.67'],True,True,1,1
187023,2,['17.59'],['17.59'],True,True,1,1
